id,lat,lon,%
Punto_0,35.93750000000001,-1.1875000000000004,0.12
Punto_1,36.81249999999999,-3.3125,0.2
Punto_2,36.93749999999999,-1.3124999999999996,0.15
Punto_3,37.31250000000001,-2.4375000000000004,0.02
Punto_4,37.3125,-2.3124999999999996,0.05
Punto_5,37.93749999999999,-5.9375,0.18
Punto_6,37.93749999999999,-4.4375,0.04
Punto_7,37.9375,-4.3125,0.0
Punto_8,37.9375,-4.0625,0.17
Punto_9,37.93749999999999,-3.8125,0.08
