date,eta
2023-12-01 00:00:00,-0.15285028535548698
2023-12-01 00:01:00,-0.1518002521845134
2023-12-01 00:02:00,-0.15074575506139215
2023-12-01 00:03:00,-0.14968683204019295
2023-12-01 00:04:00,-0.1486235207409968
2023-12-01 00:05:00,-0.1475558583546084
2023-12-01 00:06:00,-0.14648388165072196
2023-12-01 00:07:00,-0.14540762698488124
2023-12-01 00:08:00,-0.1443271303058279
2023-12-01 00:09:00,-0.14324242716501343
2023-12-01 00:10:00,-0.1421535527213724
2023-12-01 00:11:00,-0.14106054175166213
2023-12-01 00:12:00,-0.1399634286581537
2023-12-01 00:13:00,-0.13886224747711937
2023-12-01 00:14:00,-0.13775703188703778
2023-12-01 00:15:00,-0.136647815219686
2023-12-01 00:16:00,-0.13553463046587372
2023-12-01 00:17:00,-0.13441751028690618
2023-12-01 00:18:00,-0.1332964870235043
2023-12-01 00:19:00,-0.13217159270485754
2023-12-01 00:20:00,-0.1310428590601902
2023-12-01 00:21:00,-0.12991031752631937
2023-12-01 00:22:00,-0.12877399925906
2023-12-01 00:23:00,-0.12763393514295993
2023-12-01 00:24:00,-0.12649015580253903
2023-12-01 00:25:00,-0.12534269161136705
2023-12-01 00:26:00,-0.12419157270509368
2023-12-01 00:27:00,-0.12303682898964621
2023-12-01 00:28:00,-0.12187849015359882
2023-12-01 00:29:00,-0.1207165856789436
2023-12-01 00:30:00,-0.11955114485241336
2023-12-01 00:31:00,-0.11838219677650758
2023-12-01 00:32:00,-0.11720977038235839
2023-12-01 00:33:00,-0.11603389443866424
2023-12-01 00:34:00,-0.114854597565632
2023-12-01 00:35:00,-0.11367190824535733
2023-12-01 00:36:00,-0.1124858548339899
2023-12-01 00:37:00,-0.1112964655756244
2023-12-01 00:38:00,-0.11010376861083108
2023-12-01 00:39:00,-0.10890779199117422
2023-12-01 00:40:00,-0.10770856369080013
2023-12-01 00:41:00,-0.10650611161870753
2023-12-01 00:42:00,-0.10530046363048692
2023-12-01 00:43:00,-0.1040916475431134
2023-12-01 00:44:00,-0.1028796911438024
2023-12-01 00:45:00,-0.10166462220491486
2023-12-01 00:46:00,-0.10044646849589045
