date,eta
2023-12-01 00:00:00,0.2564646642634651
2023-12-01 00:01:00,0.2475012617739183
2023-12-01 00:02:00,0.23852718449114002
2023-12-01 00:03:00,0.2295429002187179
2023-12-01 00:04:00,0.2205488755063461
2023-12-01 00:05:00,0.21154557563733917
2023-12-01 00:06:00,0.2025334646489727
2023-12-01 00:07:00,0.1935130053367998
2023-12-01 00:08:00,0.18448465926077592
2023-12-01 00:09:00,0.17544888675419457
2023-12-01 00:10:00,0.16640614694421135
2023-12-01 00:11:00,0.15735689774204992
2023-12-01 00:12:00,0.14830159586596817
2023-12-01 00:13:00,0.13924069685168644
2023-12-01 00:14:00,0.1301746550594074
2023-12-01 00:15:00,0.12110392368611507
2023-12-01 00:16:00,0.11202895479110064
2023-12-01 00:17:00,0.10295019928631116
2023-12-01 00:18:00,0.0938681069660835
2023-12-01 00:19:00,0.08478312651499373
2023-12-01 00:20:00,0.07569570552140717
2023-12-01 00:21:00,0.06660629050315597
2023-12-01 00:22:00,0.057515326904952195
2023-12-01 00:23:00,0.0484232591253225
2023-12-01 00:24:00,0.03933053052963595
2023-12-01 00:25:00,0.03023758346686655
2023-12-01 00:26:00,0.021144859282132392
2023-12-01 00:27:00,0.012052798348053312
2023-12-01 00:28:00,0.0029618400608785456
2023-12-01 00:29:00,-0.006127577127895176
2023-12-01 00:30:00,-0.015215015698149804
2023-12-01 00:31:00,-0.024300039045404856
2023-12-01 00:32:00,-0.03338221144803642
2023-12-01 00:33:00,-0.042461098071450085
2023-12-01 00:34:00,-0.051536264933610174
2023-12-01 00:35:00,-0.060607278890072905
2023-12-01 00:36:00,-0.06967370761546565
2023-12-01 00:37:00,-0.07873511958664112
2023-12-01 00:38:00,-0.08779108404876856
2023-12-01 00:39:00,-0.09684117101745451
2023-12-01 00:40:00,-0.10588495124527908
2023-12-01 00:41:00,-0.11492199620299094
2023-12-01 00:42:00,-0.12395187806340999
2023-12-01 00:43:00,-0.1329741696803356
2023-12-01 00:44:00,-0.1419884445574544
2023-12-01 00:45:00,-0.15099427684721975
2023-12-01 00:46:00,-0.15999124131781514
2023-12-01 00:47:00,-0.16897891333572992
2023-12-01 00:48:00,-0.17795686884811354
2023-12-01 00:49:00,-0.18692468435022827
2023-12-01 00:50:00,-0.19588193688405214
2023-12-01 00:51:00,-0.20482820400563545
2023-12-01 00:52:00,-0.21376306376669862
2023-12-01 00:53:00,-0.22268609469723927
2023-12-01 00:54:00,-0.23159687578524982
2023-12-01 00:55:00,-0.24049498644537387
2023-12-01 00:56:00,-0.24938000651959838
2023-12-01 00:57:00,-0.25825151624202314
2023-12-01 00:58:00,-0.2671090962255747
2023-12-01 00:59:00,-0.27595232744272585
2023-12-01 01:00:00,-0.28478079119525374
2023-12-01 01:01:00,-0.29359406911372377
2023-12-01 01:02:00,-0.30239174312669787
2023-12-01 01:03:00,-0.3111733954436938
2023-12-01 01:04:00,-0.31993860853858014
2023-12-01 01:05:00,-0.32868696513376117
2023-12-01 01:06:00,-0.33741804816853627
2023-12-01 01:07:00,-0.3461314408029786
2023-12-01 01:08:00,-0.3548267263855985
2023-12-01 01:09:00,-0.36350348844108504
2023-12-01 01:10:00,-0.37216131065304714
2023-12-01 01:11:00,-0.380799776851069
2023-12-01 01:12:00,-0.3894184709812459
2023-12-01 01:13:00,-0.3980169771104024
2023-12-01 01:14:00,-0.4065948793985961
2023-12-01 01:15:00,-0.41515176208645455
2023-12-01 01:16:00,-0.423687209484949
2023-12-01 01:17:00,-0.43220080594706606
2023-12-01 01:18:00,-0.44069213587542244
2023-12-01 01:19:00,-0.4491607836947067
2023-12-01 01:20:00,-0.4576063338433206
2023-12-01 01:21:00,-0.4660283707605949
2023-12-01 01:22:00,-0.4744264788782345
2023-12-01 01:23:00,-0.4828002425970501
2023-12-01 01:24:00,-0.4911492462941106
2023-12-01 01:25:00,-0.49947307430164145
2023-12-01 01:26:00,-0.5077713108989255
2023-12-01 01:27:00,-0.5160435403070256
2023-12-01 01:28:00,-0.5242893466676201
2023-12-01 01:29:00,-0.5325083140540179
2023-12-01 01:30:00,-0.5407000264513363
2023-12-01 01:31:00,-0.548864067751692
2023-12-01 01:32:00,-0.5570000217503601
2023-12-01 01:33:00,-0.5651074721403176
